"AccountID","ServiceType","ServiceName","DataAllowance_MB","VoiceAllowance_Minutes","SMSAllowance_N_Messages","DataUsage_PCT","DataUsage_PCT_PM","DataUsage_PCT_PPM","VoiceUsage_PCT","VoiceUsage_PCT_PM","VoiceUsage_PCT_PPM","SMSUsage_PCT","SMSUsage_PCT_PM","SMSUsage_PCT_PPM","Revenue_Month","Revenue_Month_PM","Revenue_Month_PPM","Revenue_Month_PPPM","ServiceFailureRate_PCT","ServiceFailureRate_PCT_PM","ServiceFailureRate_PCT_PPM","CustomerLifetimeValue_USD","CustomerLifetimeValue_USD_PM","CustomerLifetimeValue_USD_PPM","Device_Lifetime","Device_Lifetime_PM","Device_Lifetime_PPM","ContractActivityLABEL","ContractActivity","ChurnMonth"
"2000594","Standard Service Plan","Data Standard","3072","300","300","221.7",,,"47.47",,,"6.6",,,"55","115",,,"1.26",,,"1188",,,"13",,,"Churned","1","10"
"2001358","Standard Service Plan","Voice Standard","1024","500","300","91.49","88.54","93.12","75.8","61.13","52.75","70.53","63.52","74.2","50","50","50","50","0.61","0.63","0.12","1226","1130","1072","14","14","15","Retended","0",
"2001916","Standard Service Plan","Voice Standard","1024","500","300","55.27",,,"78.14",,,"30.28",,,"50",,,,"1.14",,,"1096",,,"10",,,"Retended","0",
"2000579","Standard Service Plan","Data Standard","3072","300","300","89.5","96.47","76.97","76.79","75.76","65.85","72.92","89.64","76.07","55","55","55","55","1.35","1.53","0.37","494","1897","685","17","10","11","Retended","0",
"2000607","Standard Service Plan","Data Standard","3072","300","300","50.81",,,"88.66",,,"8",,,"55","55",,,"0.44",,,"540",,,"17",,,"Churned","1","10"
"2000785","Standard Service Plan","Data Standard","3072","300","300","80.92","87.18","86.57","20.97","73.63","83.52","45.09","59.62","72.76","55","55","55","55","0.52","1.2","1.09","1146","499","1189","10","17","14","Retended","0",
"2000608","Standard Service Plan","Data Standard","3072","300","300","140.13",,,"135.8",,,"77.3",,,"55","100",,,"2.05",,,"1027",,,"9",,,"Churned","1","10"
"2001359","Standard Service Plan","Voice Standard","1024","500","300","51.99","64.08","64.86","77.21","80.67","59.83","51.14","58.8","94.13","50","50","50","50","0.55","0.77","0.42","461","827","1957","13","12","12","Retended","0",
"2001171","Standard Service Plan","Voice Standard","1024","500","300","70.41","77.22","79.64","53.72","64.59","41.63","69.34","79.17","88.4","50","50","50","50","1.83","0.21","2.39","446","1077","2015","14","12","7","Retended","0",
"2000786","Standard Service Plan","Data Standard","3072","300","300","85.16","86.73","86.33","61.88","71.43","71.97","72.44","61.17","81.32","55","55","55","55","0.74","0.7","0.17","997","1436","1248","16","9","11","Retended","0",
"2000609","Standard Service Plan","Data Standard","3072","300","300","230.08",,,"68.59",,,"4.5",,,"55","115",,,"2.09",,,"359",,,"21",,,"Churned","1","10"
"2000580","Standard Service Plan","Data Standard","3072","300","300","87.92","78.64","89.55","82.16","54.59","89.56","61.99","53.23","82.53","55","55","55","55","0.82","0.74","1.98","1727","1288","1290","12","6","9","Retended","0",
"2001360","Standard Service Plan","Voice Standard","1024","500","300","51.76","82.29","74.93","60.8","49.62","80.05","53.17","39.73","24.32","50","50","50","50","1.3","0.97","1.2","528","402","739","13","7","17","Retended","0",
"2000625","Standard Service Plan","Data Standard","3072","300","300","6.77",,,"149.69",,,"103.33",,,"55","80",,,"0",,,"225",,,"13",,,"Churned","1","10"
"2001172","Standard Service Plan","Voice Standard","1024","500","300","42.26","71.19","79.5","50.74","57.81","37.38","53.39","55.48","82.56","70","50","50","50","1.33","0.96","0.04","828","532","861","14","16","13","Retended","0",
"2000787","Standard Service Plan","Data Standard","3072","300","300","43.18","97.32","83.39","63.98","78.39","81.94","76.95","74.87","104.12","55","55","55","65","1.32","0.7","2.27","562","1035","948","13","9","11","Retended","0",
"2000581","Standard Service Plan","Data Standard","3072","300","300","54.35","97.24","77.14","58.01","61.15","68.1","73.6","63.8","67.84","95","55","55","55","1.41","1.17","0","1284","534","1263","14","13","8","Retended","0",
"2001361","Standard Service Plan","Voice Standard","1024","500","300","80.24","81.78","88.54","43.24","84.04","61.45","70.42","60.61","40.17","50","50","50","50","0.97","1.02","1.2","550","983","398","18","8","11","Retended","0",
"2000648","Standard Service Plan","Data Standard","3072","300","300","85.55",,,"5.6",,,"55.33",,,"55","55",,,"1.97",,,"1412",,,"18",,,"Churned","1","10"
"2001173","Standard Service Plan","Voice Standard","1024","500","300","92.04","80.73","68.01","73.58","69.92","31.09","34.83","50.2","77.58","50","50","50","50","0.52","1.68","0.04","430","1463","1290","9","14","14","Retended","0",
"2000789","Standard Service Plan","Data Standard","3072","300","300","89.13","60.89","80.69","41.1","66.75","89.75","44.54","72.11","113.24","70","55","55","65","0.99","0.62","2.69","239","1782","1454","7","11","17","Retended","0",
"2000653","Standard Service Plan","Data Standard","3072","300","300","131.55",,,"87.43",,,"90.2",,,"55","85",,,"0.76",,,"799",,,"15",,,"Churned","1","10"
"2000582","Standard Service Plan","Data Standard","3072","300","300","61.01","75.5","85.36","55.86","49.2","77.01","97.5","95.94","69.17","55","55","55","55","0.63","0.51","0","686","2241","1560","14","8","12","Retended","0",
"2001363","Standard Service Plan","Voice Standard","1024","500","300","64.67","79.74","72.46","52.74","46.22","66.97","81.81","22.51","77.37","50","50","50","50","0.48","2.15","0","637","403","104","12","12","9","Retended","0",
"2000669","Standard Service Plan","Data Standard","3072","300","300","140.76",,,"138.14",,,"72",,,"55","100",,,"0",,,"364",,,"20",,,"Churned","1","10"
"2001174","Standard Service Plan","Voice Standard","1024","500","300","35.98","88.29","82.11","58.9","68.86","39.52","39.16","85.69","81.68","70","50","50","50","0.58","0.06","0.65","1243","359","1000","9","11","13","Retended","0",
"2000790","Standard Service Plan","Data Standard","3072","300","300","48.87","67.38","58.4","44.82","56.5","84.99","48.59","57.78","82.89","55","55","55","55","0.88","1.01","0.83","2607","1713","1269","7","13","11","Retended","0",
"2000904","Standard Service Plan","Voice Standard","1024","500","300","120.11","48.01",,"10.65","82.98",,"80.8","65.03",,"50","70","50",,"1.8","0.18",,"105","1333",,"8","12",,"Churned","1","11"
"2000679","Standard Service Plan","Data Standard","3072","300","300","186.43",,,"109.71",,,"75",,,"85","100",,,"0.17",,,"1130",,,"15",,,"Churned","1","10"
"2000583","Standard Service Plan","Data Standard","3072","300","300","53.49","76.83","83.35","74.15","56.1","80.74","71.86","76.42","87.3","55","55","55","55","1.3","1.72","2.98","924","1889","294","12","14","12","Retended","0",
"2001694","Standard Service Plan","Voice Standard","1024","500","300","70.13","106.49",,"64.15","78.98",,"73.65","63.64",,"50","50",,,"0.98","1.77",,"84","1563",,"14","11",,"Retended","0",
"2001364","Standard Service Plan","Voice Standard","1024","500","300","62.48","58.94","65.86","74.17","57.25","49.75","32.56","94.64","71.5","50","50","50","50","0.64","1.05","0","924","1138","1951","15","11","19","Retended","0",
"2000791","Standard Service Plan","Data Standard","3072","300","300","34.74","77.66","55.35","57.05","80.77","60.24","73.38","97.17","73.24","55","55","55","55","0.59","0.35","2.28","1930","85","1666","8","9","12","Retended","0",
"2000692","Standard Service Plan","Data Standard","3072","300","300","87.33",,,"123.33",,,"77.03",,,"55","80",,,"0",,,"1436",,,"19",,,"Churned","1","10"
"2000385","Standard Service Plan","Data Standard","3072","300","300","38.03","86.5","68.42","38.45","69.8","77.67","85.34","62.59","70.93","55","55","55","55","0.63","0.83","1.06","958","1505","1736","9","17","15","Retended","0",
"2000584","Standard Service Plan","Data Standard","3072","300","300","87.61","82.93","84.56","35.66","50.22","80.28","60.66","84.08","88.03","55","55","55","55","1.46","1.28","0.18","1174","1586","679","7","8","11","Retended","0",
"2001176","Standard Service Plan","Voice Standard","1024","500","300","56.98","58.76","63.81","36.4","25.1","48.24","74.13","86.87","83.9","50","50","50","50","1.38","0.62","0.93","1327","1440","1203","13","9","13","Retended","0",
"2001365","Standard Service Plan","Voice Standard","1024","500","300","46.26","49.44","92.23","90.07","31.63","92.93","88.33","72.08","91.71","50","50","50","50","1.35","0.93","1.48","666","292","1343","14","13","16","Retended","0",
"2000915","Standard Service Plan","Voice Standard","1024","500","300","98.16","92.23",,"7.99","79.2",,"54.33","74.98",,"50","50","50",,"1.46","1.21",,"1027","1310",,"12","10",,"Churned","1","11"
"2000693","Standard Service Plan","Data Standard","3072","300","300","135.1",,,"70.97",,,"63.56",,,"55","85",,,"2.56",,,"406",,,"11",,,"Churned","1","10"
"2000792","Standard Service Plan","Data Standard","3072","300","300","23.21","78.64","65.76","35.59","66.69","79.72","52.16","79.59","67.41","55","55","55","55","0.73","1.28","1.72","455","1741","703","7","12","15","Retended","0",
"2000707","Standard Service Plan","Data Standard","3072","300","300","10.19",,,"94.73",,,"65.14",,,"55","85",,,"0.31",,,"781",,,"13",,,"Churned","1","10"
"2001177","Standard Service Plan","Voice Standard","1024","500","300","49.48","87.31","55","71.02","66.63","31.77","87.42","77.38","84.91","50","50","50","50","1.48","0.44","1.16","1757","334","551","11","10","8","Retended","0",
"2001366","Standard Service Plan","Voice Standard","1024","500","300","67.57","82.69","92.15","39.12","72.15","51.31","72.51","79.87","80.31","50","50","50","50","1.97","1.14","1.45","761","1997","723","8","9","16","Retended","0",
"2000585","Standard Service Plan","Data Standard","3072","300","300","86.37","92.37","94.26","79.76","32.01","68.28","80.44","89.3","80.03","55","55","55","55","1.48","0.91","0.89","1495","1231","981","16","17","12","Retended","0",
"2000919","Standard Service Plan","Voice Standard","1024","500","300","6.64","66.89",,"57.73","93.24",,"64.99","78.04",,"50","50","50",,"1.26","3.24",,"1456","1709",,"10","13",,"Churned","1","11"
"2000793","Standard Service Plan","Data Standard","3072","300","300","78.73","87.11","82.48","53.26","76.72","76.38","57.74","87.06","63.12","55","55","55","55","1.19","0.51","0.85","1525","1170","296","13","16","9","Retended","0",
"2000386","Standard Service Plan","Data Standard","3072","300","300","81.84","88.37","73.64","46.98","69.17","39.41","48.34","56.73","75.08","55","55","55","55","0.32","0.67","1.49","678","997","296","12","16","14","Retended","0",
"2000711","Standard Service Plan","Data Standard","3072","300","300","101.34",,,"4.51",,,"101.71",,,"55","95",,,"1.77",,,"173",,,"14",,,"Churned","1","10"
"2000716","Standard Service Plan","Data Standard","3072","300","300","98.86",,,"7.57",,,"91.58",,,"55","55",,,"2.18",,,"490",,,"12",,,"Churned","1","10"
"2001367","Standard Service Plan","Voice Standard","1024","500","300","90.67","89.69","89.61","71","50.69","28.7","54.96","79.65","61.67","50","50","50","50","1.18","1.1","0","321","1103","971","10","10","12","Retended","0",
"2000927","Standard Service Plan","Voice Standard","1024","500","300","6.28","96.59",,"74.31","93.22",,"102.29","64.15",,"50","60","50",,"1.41","0.17",,"359","923",,"11","12",,"Churned","1","11"
"2001178","Standard Service Plan","Voice Standard","1024","500","300","30.44","75.15","95","63.58","61.4","36.36","58.8","82.29","78.53","50","50","50","50","0.79","0.43","1.96","1407","1749","1514","14","16","13","Retended","0",
"2000794","Standard Service Plan","Data Standard","3072","300","300","64.6","60.52","56.49","38.44","83.11","90.16","60.14","68.72","82.17","55","55","55","55","0.54","1.12","2.19","1095","639","1975","8","14","6","Retended","0",
"2000586","Standard Service Plan","Data Standard","3072","300","300","86.06","77.58","78.4","33.9","75.4","84.4","44","80.22","66.51","55","55","55","55","1.42","1.05","1","1481","1710","1146","11","13","13","Retended","0",
"2001845","Standard Service Plan","Data Standard","3072","300","300","49.88",,,"94.75",,,"87.02",,,"85",,,,"1.05",,,"1677",,,"9",,,"Retended","0",
"2000743","Standard Service Plan","Data Standard","3072","300","300","109.96",,,"73.68",,,"44.47",,,"55","85",,,"0.89",,,"576",,,"7",,,"Churned","1","10"
"2001917","Standard Service Plan","Voice Standard","1024","500","300","54.05",,,"85.86",,,"81.43",,,"50",,,,"0.89",,,"1673",,,"13",,,"Retended","0",
"2000944","Standard Service Plan","Voice Standard","1024","500","300","78.97","80.26",,"68.84","82.81",,"49.34","74.16",,"50","50","50",,"0.58","1.3",,"272","1076",,"9","16",,"Churned","1","11"
"2001368","Standard Service Plan","Voice Standard","1024","500","300","62.49","83.37","84.75","50.85","102.2","87.85","94.88","90.76","37.65","50","50","70","50","1.72","1.54","0.42","1443","1142","1757","13","11","13","Retended","0",
"2000587","Standard Service Plan","Data Standard","3072","300","300","72.83","89.04","81.59","61.17","25.89","79.51","73.99","44.84","68.36","65","55","55","55","0.79","0.42","1.94","1361","1639","1078","10","15","11","Retended","0",
"2000389","Standard Service Plan","Data Standard","3072","300","300","81.95","36.99","74.13","70.06","31.08","85.84","63.93","64.53","78.02","65","55","55","55","0.71","0.98","2.85","695","964","185","12","17","10","Retended","0",
"2000760","Standard Service Plan","Data Standard","3072","300","300","62.74",,,"85.55",,,"65.86",,,"55","55",,,"2.45",,,"382",,,"20",,,"Churned","1","10"
"2001369","Standard Service Plan","Voice Standard","1024","500","300","65.13","58.15","68.36","72.88","75.05","66.2","65.25","46.02","49.64","50","50","50","50","1.15","0.17","0","1852","646","1185","12","17","12","Retended","0",
"2000962","Standard Service Plan","Voice Standard","1024","500","300","99.21","81.06",,"45.35","39.07",,"71.13","60.63",,"50","50","50",,"0.32","2.15",,"938","1283",,"6","9",,"Churned","1","11"
"2001180","Standard Service Plan","Voice Standard","1024","500","300","85.64","67.27","69.6","65.01","58.18","93.8","68.16","82.91","73.92","50","50","50","50","2.01","1.26","1.6","1292","549","1422","15","13","13","Retended","0",
"2000800","Standard Service Plan","Data Standard","3072","300","300","50.39",,,"73.99",,,"84.87",,,"70","55",,,"3.9",,,"618",,,"19",,,"Churned","1","10"
"2000795","Standard Service Plan","Data Standard","3072","300","300","15.17","61.64","92.04","65.13","73.2","93.03","63.6","68.84","90.56","55","55","55","55","0.66","1.69","2.65","1348","1407","184","8","10","8","Retended","0",
"2000390","Standard Service Plan","Data Standard","3072","300","300","82.94","89.65","46.48","80.24","40.7","37.28","65.05","77.17","66.48","55","55","55","55","0.9","1.04","1.88","867","1073","399","9","9","14","Retended","0",
"2000807","Standard Service Plan","Data Standard","3072","300","300","108.36",,,"88.04",,,"50.9",,,"50","85",,,"0.93",,,"463",,,"12",,,"Churned","1","10"
"2000971","Standard Service Plan","Voice Standard","1024","500","300","105.84","89.13",,"72.51","39.5",,"77.75","84.28",,"50","70","50",,"0.83","1.73",,"310","741",,"17","10",,"Churned","1","11"
"2001370","Standard Service Plan","Voice Standard","1024","500","300","56.96","51.27","50.33","38.65","75.37","39.67","55.84","77.2","52.4","50","50","50","50","0.95","0.76","1.99","1242","1175","1310","12","14","7","Retended","0",
"2001181","Standard Service Plan","Voice Standard","1024","500","300","80.91","85.36","88","37.48","95.99","85.6","57.07","49.41","62.68","70","50","50","50","0.21","0.89","0.8","1537","1503","1389","18","12","13","Retended","0",
"2000588","Standard Service Plan","Data Standard","3072","300","300","89.86","53.8","90","91.17","21.52","83.11","62.43","49.6","75.31","55","55","55","55","1.96","0.41","1.02","1368","1158","1483","8","16","10","Retended","0",
"2000796","Standard Service Plan","Data Standard","3072","300","300","70.43","71.07","82.46","95.35","75.41","70.52","91.86","63.87","13.44","55","55","55","55","1.27","0.43","2.66","744","1090","1017","9","10","12","Retended","0",
"2000001","Premium Service Plan","Data Premium","10240","150","300","83.42","51.16","62.9","91.18","72.98","71.24","67.22","27.42","41.26","70","70","70","70","0.56","0.82","2.1","843","1385","528","16","9","13","Retended","0",
"2000820","Standard Service Plan","Data Standard","3072","300","300","102.17",,,"70.04",,,"111.47",,,"50","95",,,"0",,,"1549",,,"10",,,"Churned","1","10"
"2000391","Standard Service Plan","Data Standard","3072","300","300","89.89","76.16","77.83","71.44","56.96","32.18","80","76.83","60.36","55","55","55","55","0.66","1.05","0.73","1367","213","121","10","21","12","Retended","0",
"2001371","Standard Service Plan","Voice Standard","1024","500","300","64.57","78.35","93.86","76.82","79.04","56.97","65.18","64.37","94.18","50","50","50","50","2.68","1.28","0","1706","218","657","15","9","11","Retended","0",
"2000993","Standard Service Plan","Voice Standard","1024","500","300","99.6","72.61",,"5.77","88.88",,"64.69","82.65",,"50","50","50",,"0.22","0",,"774","644",,"17","14",,"Churned","1","11"
"2001182","Standard Service Plan","Voice Standard","1024","500","300","40.36","79.32","76.32","71.03","91.03","96.72","71.99","87.07","80.05","50","50","50","50","0.61","1.2","0","1324","509","606","12","10","8","Retended","0",
"2000849","Standard Service Plan","Data Standard","3072","300","300","108.57",,,"8.61",,,"49.5",,,"50","85",,,"0",,,"838",,,"9",,,"Churned","1","10"
"2000589","Standard Service Plan","Data Standard","3072","300","300","92.97","60.73","79.34","90.37","73.69","87.14","69.66","65.68","68.44","55","55","55","55","0.74","0.59","1.37","1479","920","98","19","12","10","Retended","0",
"2000797","Standard Service Plan","Data Standard","3072","300","300","66.59","49.95","81.4","45.15","31.81","78.82","48.55","73.73","89.61","55","55","55","55","1.24","0.29","1.98","1225","2155","911","9","10","13","Retended","0",
"2000392","Standard Service Plan","Data Standard","3072","300","300","84","36.69","58.35","64.76","80.95","70.47","56.7","63.81","50.35","65","55","55","55","2.17","0.73","1.54","1845","731","1298","17","15","13","Retended","0",
"2000850","Standard Service Plan","Data Standard","3072","300","300","108.54",,,"104.33",,,"90.19",,,"50","100",,,"2.29",,,"1491",,,"12",,,"Churned","1","10"
